home_team_name,away_team_name,match_date,home_team_score,away_team_score,total_goals,is_knockout_stage,home_team_mean_goals,away_team_mean_goals,home_team_mean_conceded,away_team_mean_conceded
Soviet Union,Yugoslavia,1962-05-31,2,0,2,False,1.7096774193548387,1.6216216216216217,1.096774193548387,1.2432432432432432
West Germany,Italy,1962-05-31,0,0,0,False,2.1129032258064515,1.5421686746987953,1.2419354838709677,0.927710843373494
Czechia,Spain,1962-05-31,1,0,1,False,1.4242424242424243,1.6119402985074627,1.4848484848484849,1.1194029850746268
Hungary,England,1962-05-31,2,1,3,False,2.71875,1.4054054054054055,1.78125,0.918918918918919
Yugoslavia,Uruguay,1962-06-02,3,1,4,False,1.6216216216216217,1.5084745762711864,1.2432432432432432,1.2881355932203389
Chile,Italy,1962-06-02,2,0,2,False,1.2121212121212122,1.5421686746987953,1.4848484848484849,0.927710843373494
Brazil,Czechia,1962-06-02,0,0,0,False,2.0789473684210527,1.4242424242424243,0.9473684210526315,1.4848484848484849
England,Argentina,1962-06-02,3,1,4,False,1.4054054054054055,1.7272727272727273,0.918918918918919,1.1477272727272727
Soviet Union,Colombia,1962-06-03,4,4,8,False,1.7096774193548387,1.4545454545454546,1.096774193548387,1.3636363636363635
West Germany,Switzerland,1962-06-03,2,1,3,False,2.1129032258064515,1.3414634146341464,1.2419354838709677,1.7804878048780488
Spain,Mexico,1962-06-03,1,0,1,False,1.6119402985074627,1.0333333333333334,1.1194029850746268,1.6833333333333333
Hungary,Bulgaria,1962-06-03,6,1,7,False,2.71875,0.8461538461538461,1.78125,2.0384615384615383
Soviet Union,Uruguay,1962-06-06,2,1,3,False,1.7096774193548387,1.5084745762711864,1.096774193548387,1.2881355932203389
West Germany,Chile,1962-06-06,2,0,2,False,2.1129032258064515,1.2121212121212122,1.2419354838709677,1.4848484848484849
Brazil,Spain,1962-06-06,2,1,3,False,2.0789473684210527,1.6119402985074627,0.9473684210526315,1.1194029850746268
Hungary,Argentina,1962-06-06,0,0,0,False,2.71875,1.7272727272727273,1.78125,1.1477272727272727
Yugoslavia,Colombia,1962-06-07,5,0,5,False,1.6216216216216217,1.4545454545454546,1.2432432432432432,1.3636363636363635
Italy,Switzerland,1962-06-07,3,0,3,False,1.5421686746987953,1.3414634146341464,0.927710843373494,1.7804878048780488
Mexico,Czechia,1962-06-07,3,1,4,False,1.0333333333333334,1.4242424242424243,1.6833333333333333,1.4848484848484849
England,Bulgaria,1962-06-07,0,0,0,False,1.4054054054054055,0.8461538461538461,0.918918918918919,2.0384615384615383
Brazil,England,1962-06-10,3,1,4,True,2.0789473684210527,1.4054054054054055,0.9473684210526315,0.918918918918919
Chile,Soviet Union,1962-06-10,2,1,3,True,1.2121212121212122,1.7096774193548387,1.4848484848484849,1.096774193548387
Czechia,Hungary,1962-06-10,1,0,1,True,1.4242424242424243,2.71875,1.4848484848484849,1.78125
Yugoslavia,West Germany,1962-06-10,1,0,1,True,1.6216216216216217,2.1129032258064515,1.2432432432432432,1.2419354838709677
Brazil,Chile,1962-06-13,4,2,6,True,2.0789473684210527,1.2121212121212122,0.9473684210526315,1.4848484848484849
Czechia,Yugoslavia,1962-06-13,3,1,4,True,1.4242424242424243,1.6216216216216217,1.4848484848484849,1.2432432432432432
Chile,Yugoslavia,1962-06-16,1,0,1,True,1.2121212121212122,1.6216216216216217,1.4848484848484849,1.2432432432432432
Brazil,Czechia,1962-06-17,3,1,4,True,2.0789473684210527,1.4242424242424243,0.9473684210526315,1.4848484848484849
England,Uruguay,1966-07-11,0,0,0,False,1.4054054054054055,1.5084745762711864,0.918918918918919,1.2881355932203389
West Germany,Switzerland,1966-07-12,5,0,5,False,2.1129032258064515,1.3414634146341464,1.2419354838709677,1.7804878048780488
Brazil,Bulgaria,1966-07-12,2,0,2,False,2.0789473684210527,0.8461538461538461,0.9473684210526315,2.0384615384615383
Soviet Union,North Korea,1966-07-12,3,0,3,False,1.7096774193548387,0.8571428571428571,1.096774193548387,3.0
France,Mexico,1966-07-13,1,1,2,False,1.8630136986301369,1.0333333333333334,1.1643835616438356,1.6833333333333333
Argentina,Spain,1966-07-13,2,1,3,False,1.7272727272727273,1.6119402985074627,1.1477272727272727,1.1194029850746268
Portugal,Hungary,1966-07-13,3,1,4,False,1.7428571428571429,2.71875,1.1714285714285715,1.78125
Italy,Chile,1966-07-13,2,0,2,False,1.5421686746987953,1.2121212121212122,0.927710843373494,1.4848484848484849
Uruguay,France,1966-07-15,2,1,3,False,1.5084745762711864,1.8630136986301369,1.2881355932203389,1.1643835616438356
Spain,Switzerland,1966-07-15,2,1,3,False,1.6119402985074627,1.3414634146341464,1.1194029850746268,1.7804878048780488
Hungary,Brazil,1966-07-15,3,1,4,False,2.71875,2.0789473684210527,1.78125,0.9473684210526315
Chile,North Korea,1966-07-15,1,1,2,False,1.2121212121212122,0.8571428571428571,1.4848484848484849,3.0
Argentina,West Germany,1966-07-16,0,0,0,False,1.7272727272727273,2.1129032258064515,1.1477272727272727,1.2419354838709677
Portugal,Bulgaria,1966-07-16,3,0,3,False,1.7428571428571429,0.8461538461538461,1.1714285714285715,2.0384615384615383
Soviet Union,Italy,1966-07-16,1,0,1,False,1.7096774193548387,1.5421686746987953,1.096774193548387,0.927710843373494
England,Mexico,1966-07-16,2,0,2,False,1.4054054054054055,1.0333333333333334,0.918918918918919,1.6833333333333333
Mexico,Uruguay,1966-07-19,0,0,0,False,1.0333333333333334,1.5084745762711864,1.6833333333333333,1.2881355932203389
Argentina,Switzerland,1966-07-19,2,0,2,False,1.7272727272727273,1.3414634146341464,1.1477272727272727,1.7804878048780488
Portugal,Brazil,1966-07-19,3,1,4,False,1.7428571428571429,2.0789473684210527,1.1714285714285715,0.9473684210526315
North Korea,Italy,1966-07-19,1,0,1,False,0.8571428571428571,1.5421686746987953,3.0,0.927710843373494
England,France,1966-07-20,2,0,2,False,1.4054054054054055,1.8630136986301369,0.918918918918919,1.1643835616438356
West Germany,Spain,1966-07-20,2,1,3,False,2.1129032258064515,1.6119402985074627,1.2419354838709677,1.1194029850746268
Hungary,Bulgaria,1966-07-20,3,1,4,False,2.71875,0.8461538461538461,1.78125,2.0384615384615383
Soviet Union,Chile,1966-07-20,2,1,3,False,1.7096774193548387,1.2121212121212122,1.096774193548387,1.4848484848484849
England,Argentina,1966-07-23,1,0,1,True,1.4054054054054055,1.7272727272727273,0.918918918918919,1.1477272727272727
Portugal,North Korea,1966-07-23,5,3,8,True,1.7428571428571429,0.8571428571428571,1.1714285714285715,3.0
Soviet Union,Hungary,1966-07-23,2,1,3,True,1.7096774193548387,2.71875,1.096774193548387,1.78125
West Germany,Uruguay,1966-07-23,4,0,4,True,2.1129032258064515,1.5084745762711864,1.2419354838709677,1.2881355932203389
West Germany,Soviet Union,1966-07-25,2,1,3,True,2.1129032258064515,1.7096774193548387,1.2419354838709677,1.096774193548387
England,Portugal,1966-07-26,2,1,3,True,1.4054054054054055,1.7428571428571429,0.918918918918919,1.1714285714285715
Portugal,Soviet Union,1966-07-28,2,1,3,True,1.7428571428571429,1.7096774193548387,1.1714285714285715,1.096774193548387
England,West Germany,1966-07-30,4,2,6,True,1.4054054054054055,2.1129032258064515,0.918918918918919,1.2419354838709677
Mexico,Soviet Union,1970-05-31,0,0,0,False,1.0333333333333334,1.7096774193548387,1.6833333333333333,1.096774193548387
Uruguay,Israel,1970-06-02,2,0,2,False,1.5084745762711864,0.3333333333333333,1.2881355932203389,1.0
England,Romania,1970-06-02,1,0,1,False,1.4054054054054055,1.4285714285714286,0.918918918918919,1.5238095238095237
Peru,Bulgaria,1970-06-02,3,2,5,False,1.1666666666666667,0.8461538461538461,1.8333333333333333,2.0384615384615383
Belgium,El Salvador,1970-06-03,3,0,3,False,1.3529411764705883,0.16666666666666666,1.4509803921568627,3.6666666666666665
Italy,Sweden,1970-06-03,1,0,1,False,1.5421686746987953,1.5686274509803921,0.927710843373494,1.4313725490196079
Brazil,Czechia,1970-06-03,4,1,5,False,2.0789473684210527,1.4242424242424243,0.9473684210526315,1.4848484848484849
West Germany,Morocco,1970-06-03,2,1,3,False,2.1129032258064515,0.8695652173913043,1.2419354838709677,1.173913043478261
Soviet Union,Belgium,1970-06-06,4,1,5,False,1.7096774193548387,1.3529411764705883,1.096774193548387,1.4509803921568627
Uruguay,Italy,1970-06-06,0,0,0,False,1.5084745762711864,1.5421686746987953,1.2881355932203389,0.927710843373494
Romania,Czechia,1970-06-06,2,1,3,False,1.4285714285714286,1.4242424242424243,1.5238095238095237,1.4848484848484849
Peru,Morocco,1970-06-06,3,0,3,False,1.1666666666666667,0.8695652173913043,1.8333333333333333,1.173913043478261
Mexico,El Salvador,1970-06-07,4,0,4,False,1.0333333333333334,0.16666666666666666,1.6833333333333333,3.6666666666666665
Sweden,Israel,1970-06-07,1,1,2,False,1.5686274509803921,0.3333333333333333,1.4313725490196079,1.0
Brazil,England,1970-06-07,1,0,1,False,2.0789473684210527,1.4054054054054055,0.9473684210526315,0.918918918918919
